Year   Token IDs                 Decoded Tokens            #Tokens  Next Token
1838   [1283, 1839]              ['18', '38']              2        were      
1839   [1283, 1867]              ['18', '39']              2        was       
1840   [46537]                   ['1840']                  1                  
1841   [1283, 3156]              ['18', '41']              2        were      
1842   [1283, 2945]              ['18', '42']              2        was       
1843   [1283, 3079]              ['18', '43']              2        was       
1844   [1283, 2031]              ['18', '44']              2        were      
1845   [1283, 1857]              ['18', '45']              2        was       
1846   [1283, 2950]              ['18', '46']              2        was       
1847   [1283, 2504]              ['18', '47']              2        was       
1848   [48308]                   ['1848']                  1                  
1849   [1283, 2537]              ['18', '49']              2        were      
1850   [38367]                   ['1850']                  1        were      
1851   [1283, 3712]              ['18', '51']              2        was       
1852   [1283, 3583]              ['18', '52']              2        was       
1853   [1283, 3357]              ['18', '53']              2        was       
1854   [1283, 3439]              ['18', '54']              2        was       
1855   [1283, 2417]              ['18', '55']              2        was       
1856   [1283, 3208]              ['18', '56']              2        were      
1857   [1283, 3011]              ['18', '57']              2        was       
1858   [1283, 3680]              ['18', '58']              2        was       
1859   [1283, 3046]              ['18', '59']              2        was       
1860   [36525]                   ['1860']                  1        were      
1861   [42129]                   ['1861']                  1                  
1862   [45834]                   ['1862']                  1                  
1863   [43450]                   ['1863']                  1                  
1864   [44956]                   ['1864']                  1                  
1865   [42741]                   ['1865']                  1                  
1866   [49420]                   ['1866']                  1                  
1867   [50220]                   ['1867']                  1                  
1868   [48318]                   ['1868']                  1                  
1869   [1283, 2090]              ['18', '69']              2        were      
1870   [35828]                   ['1870']                  1                  
1871   [1283, 3677]              ['18', '71']              2        was       
1872   [1283, 3547]              ['18', '72']              2        was       
1873   [1283, 3655]              ['18', '73']              2        was       
1874   [1283, 3566]              ['18', '74']              2        was       
1875   [1283, 1976]              ['18', '75']              2        were      
1876   [50074]                   ['1876']                  1                  
1877   [1283, 2357]              ['18', '77']              2        was       
1878   [1283, 3141]              ['18', '78']              2        were      
1879   [1283, 2787]              ['18', '79']              2        was       
1880   [32626]                   ['1880']                  1        were      
1881   [49120]                   ['1881']                  1                  
1882   [49325]                   ['1882']                  1                  
1883   [1283, 3245]              ['18', '83']              2        was       
1884   [48466]                   ['1884']                  1                  
1885   [46416]                   ['1885']                  1                  
1886   [48305]                   ['1886']                  1                  
1887   [48026]                   ['1887']                  1                  
1888   [44728]                   ['1888']                  1                  
1889   [45272]                   ['1889']                  1                  
1890   [32789]                   ['1890']                  1                  
1891   [45145]                   ['1891']                  1                  
1892   [43589]                   ['1892']                  1        was       
1893   [45987]                   ['1893']                  1        was       
1894   [46470]                   ['1894']                  1        was       
1895   [42549]                   ['1895']                  1        were      
1896   [43843]                   ['1896']                  1        was       
1897   [45265]                   ['1897']                  1        was       
1898   [42122]                   ['1898']                  1        was       
1899   [42791]                   ['1899']                  1        were      
1900   [24810]                   ['1900']                  1        were      
1901   [40488]                   ['1901']                  1        were      
1902   [42662]                   ['1902']                  1        was       
1903   [40937]                   ['1903']                  1        was       
1904   [40253]                   ['1904']                  1        was       
1905   [37400]                   ['1905']                  1        was       
1906   [38701]                   ['1906']                  1        was       
1907   [39118]                   ['1907']                  1        were      
1908   [36754]                   ['1908']                  1        were      
1909   [38624]                   ['1909']                  1        were      
1910   [31707]                   ['1910']                  1        were      
1911   [34283]                   ['1911']                  1        were      
1912   [32295]                   ['1912']                  1        were      
1913   [33920]                   ['1913']                  1        were      
1914   [26478]                   ['1914']                  1        were      
1915   [27698]                   ['1915']                  1        were      
1916   [31246]                   ['1916']                  1        was       
1917   [27062]                   ['1917']                  1        were      
1918   [26052]                   ['1918']                  1        were      
1919   [29145]                   ['1919']                  1        were      
1920   [18471]                   ['1920']                  1        were      
1921   [33531]                   ['1921']                  1        were      
1922   [33287]                   ['1922']                  1        was       
1923   [33881]                   ['1923']                  1        was       
1924   [32921]                   ['1924']                  1        was       
1925   [31610]                   ['1925']                  1        was       
1926   [33554]                   ['1926']                  1        was       
1927   [31687]                   ['1927']                  1        was       
1928   [31751]                   ['1928']                  1        were      
1929   [29063]                   ['1929']                  1        were      
1930   [17437]                   ['1930']                  1        were      
1931   [31039]                   ['1931']                  1        were      
1932   [30953]                   ['1932']                  1        were      
1933   [26916]                   ['1933']                  1        were      
1934   [28507]                   ['1934']                  1        were      
1935   [29175]                   ['1935']                  1        were      
1936   [27386]                   ['1936']                  1        were      
1937   [27598]                   ['1937']                  1        was       
1938   [26421]                   ['1938']                  1        was       
1939   [22745]                   ['1939']                  1        were      
1940   [16952]                   ['1940']                  1        were      
1941   [22715]                   ['1941']                  1        were      
1942   [22420]                   ['1942']                  1        were      
1943   [23430]                   ['1943']                  1        were      
1944   [21930]                   ['1944']                  1        were      
1945   [18824]                   ['1945']                  1        were      
1946   [24623]                   ['1946']                  1        were      
1947   [23518]                   ['1947']                  1        were      
1948   [22557]                   ['1948']                  1        were      
1949   [24344]                   ['1949']                  1        was       
1950   [13918]                   ['1950']                  1        were      
1951   [25124]                   ['1951']                  1        was       
1952   [24652]                   ['1952']                  1        was       
1953   [24113]                   ['1953']                  1        was       
1954   [24178]                   ['1954']                  1        was       
1955   [23438]                   ['1955']                  1        was       
1956   [22716]                   ['1956']                  1        was       
1957   [23305]                   ['1957']                  1        was       
1958   [23084]                   ['1958']                  1        were      
1959   [22824]                   ['1959']                  1        were      
1960   [11994]                   ['1960']                  1        were      
1961   [21054]                   ['1961']                  1        were      
1962   [20208]                   ['1962']                  1        was       
1963   [19949]                   ['1963']                  1        was       
1964   [17926]                   ['1964']                  1        was       
1965   [18417]                   ['1965']                  1        were      
1966   [19213]                   ['1966']                  1        was       
1967   [17342]                   ['1967']                  1        were      
1968   [16221]                   ['1968']                  1        was       
1969   [16648]                   ['1969']                  1        was       
1970   [10333]                   ['1970']                  1        were      
1971   [16609]                   ['1971']                  1        was       
1972   [15750]                   ['1972']                  1        was       
1973   [15621]                   ['1973']                  1        was       
1974   [15788]                   ['1974']                  1        was       
1975   [14752]                   ['1975']                  1        was       
1976   [14828]                   ['1976']                  1        was       
1977   [14960]                   ['1977']                  1        was       
1978   [14304]                   ['1978']                  1        was       
1979   [13842]                   ['1979']                  1        was       
1980   [9178]                    ['1980']                  1        were      
1981   [13402]                   ['1981']                  1        was       
1982   [13563]                   ['1982']                  1        was       
1983   [11299]                   ['1983']                  1        was       
1984   [12459]                   ['1984']                  1        was       
1985   [12210]                   ['1985']                  1        was       
1986   [12140]                   ['1986']                  1        was       
1987   [12034]                   ['1987']                  1        was       
1988   [11513]                   ['1988']                  1        were      
1989   [11161]                   ['1989']                  1        was       
1990   [7901]                    ['1990']                  1        were      
1991   [10226]                   ['1991']                  1        were      
1992   [9748]                    ['1992']                  1        was       
1993   [9725]                    ['1993']                  1        were      
1994   [9354]                    ['1994']                  1        were      
1995   [8878]                    ['1995']                  1        were      
1996   [8441]                    ['1996']                  1        were      
1997   [8210]                    ['1997']                  1        were      
1998   [8065]                    ['1998']                  1        were      
1999   [7544]                    ['1999']                  1        were      
2000   [5307]                    ['2000']                  1        were      
2001   [6585]                    ['2001']                  1        were      
2002   [6752]                    ['2002']                  1        were      
2003   [6469]                    ['2003']                  1        were      
2004   [6157]                    ['2004']                  1        were      
2005   [5826]                    ['2005']                  1        were      
2006   [5403]                    ['2006']                  1        were      
2007   [5215]                    ['2007']                  1        were      
2008   [4695]                    ['2008']                  1        were      
2009   [4748]                    ['2009']                  1        were      
2010   [4267]                    ['2010']                  1        were      
2011   [4332]                    ['2011']                  1        were      
2012   [4050]                    ['2012']                  1        were      
2013   [4072]                    ['2013']                  1        were      
2014   [4059]                    ['2014']                  1        were      
2015   [4104]                    ['2015']                  1        were      
2016   [4022]                    ['2016']                  1        were      
2017   [4240]                    ['2017']                  1        were      
2018   [4765]                    ['2018']                  1        were      
2019   [6247]                    ['2019']                  1        were      
2020   [9169]                    ['2020']                  1                  
2021   [43425]                   ['2021']                  1        will      
2022   [1384, 1423]              ['20', '22']              2        will      
2023   [1384, 1508]              ['20', '23']              2        will      
2024   [1384, 1348]              ['20', '24']              2        will      
2025   [1384, 1099]              ['20', '25']              2        will      
2026   [1384, 1731]              ['20', '26']              2        will      
2027   [1384, 1630]              ['20', '27']              2        will      
2028   [1384, 1619]              ['20', '28']              2        will      
2029   [1384, 1717]              ['20', '29']              2        will      
2030   [42715]                   ['2030']                  1                  
2031   [1384, 2405]              ['20', '31']              2        will      
2032   [1384, 1237]              ['20', '32']              2        will      
2033   [1384, 1610]              ['20', '33']              2        will      
2034   [1384, 1706]              ['20', '34']              2        will      
2035   [1384, 1671]              ['20', '35']              2        will      
2036   [1384, 1812]              ['20', '36']              2        will      
2037   [1384, 1787]              ['20', '37']              2        will      
2038   [1384, 1839]              ['20', '38']              2        will      
2039   [1384, 1867]              ['20', '39']              2        will      
2040   [1384, 1449]              ['20', '40']              2        will      
2041   [1384, 3156]              ['20', '41']              2        will      
2042   [1384, 2945]              ['20', '42']              2        will      
2043   [1384, 3079]              ['20', '43']              2        will      
2044   [1384, 2031]              ['20', '44']              2        will      
2045   [1384, 1857]              ['20', '45']              2        will      
2046   [1384, 2950]              ['20', '46']              2        will      
2047   [1384, 2504]              ['20', '47']              2        will      
2048   [1384, 2385]              ['20', '48']              2        are       
2049   [1384, 2537]              ['20', '49']              2        will      
2050   [1384, 1235]              ['20', '50']              2        will      
2051   [1384, 3712]              ['20', '51']              2        will      
2052   [1384, 3583]              ['20', '52']              2        will      
2053   [1384, 3357]              ['20', '53']              2        will      
2054   [1384, 3439]              ['20', '54']              2        were      
2055   [1384, 2417]              ['20', '55']              2        will      
2056   [1384, 3208]              ['20', '56']              2        were      
2057   [1384, 3011]              ['20', '57']              2        were      
2058   [1384, 3680]              ['20', '58']              2        will      
2059   [1384, 3046]              ['20', '59']              2        will      
2060   [1384, 1549]              ['20', '60']              2        will      
2061   [1384, 3832]              ['20', '61']              2        will      
2062   [1384, 3763]              ['20', '62']              2        will      
2063   [1384, 3571]              ['20', '63']              2        will      
2064   [1384, 1540]              ['20', '64']              2        will      
2065   [1384, 2082]              ['20', '65']              2        will      
2066   [1384, 2526]              ['20', '66']              2        were      
2067   [1384, 2251]              ['20', '67']              2        will      
2068   [1384, 2358]              ['20', '68']              2        will      
2069   [1384, 2090]              ['20', '69']              2        will      
2070   [1384, 1967]              ['20', '70']              2        will      
2071   [1384, 3677]              ['20', '71']              2        will      
2072   [1384, 3547]              ['20', '72']              2        will      
2073   [1384, 3655]              ['20', '73']              2        will      
2074   [1384, 3566]              ['20', '74']              2        will      
2075   [1384, 1976]              ['20', '75']              2        will      
2076   [1384, 3121]              ['20', '76']              2        will      
2077   [1384, 2357]              ['20', '77']              2        will      
2078   [1384, 3141]              ['20', '78']              2        will      
2079   [1384, 2787]              ['20', '79']              2        were      
2080   [1384, 1438]              ['20', '80']              2        will      
2081   [1384, 3593]              ['20', '81']              2        will      
2082   [1384, 3507]              ['20', '82']              2        will      
2083   [1384, 3245]              ['20', '83']              2        will      
2084   [1384, 2759]              ['20', '84']              2        will      
2085   [1384, 2227]              ['20', '85']              2        will      
2086   [1384, 2691]              ['20', '86']              2        will      
2087   [1384, 2597]              ['20', '87']              2        will      
2088   [1384, 2055]              ['20', '88']              2        will      
2089   [1384, 2511]              ['20', '89']              2        are       
2090   [1384, 2270]              ['20', '90']              2        will      
2091   [1384, 4739]              ['20', '91']              2        will      
2092   [1384, 4529]              ['20', '92']              2        will      
2093   [1384, 4590]              ['20', '93']              2        will      
2094   [1384, 3953]              ['20', '94']              2        was       
2095   [1384, 2222]              ['20', '95']              2        were      
2096   [1384, 4196]              ['20', '96']              2        were      
2097   [1384, 4148]              ['20', '97']              2        will      
2098   [1384, 4185]              ['20', '98']              2        were      
2099   [1384, 1525]              ['20', '99']              2        will      
2100   [374, 2313]               ['2', '100']              2        will      
2101   [3127, 520]               ['21', '01']              2        was       
2102   [374, 11335]              ['2', '102']              2        was       
2103   [374, 12172]              ['2', '103']              2        were      
2104   [374, 11238]              ['2', '104']              2        was       
2105   [374, 10655]              ['2', '105']              2        was       
2106   [374, 12971]              ['2', '106']              2        was       
2107   [374, 12224]              ['2', '107']              2        was       
2108   [374, 12347]              ['2', '108']              2        was       
2109   [374, 12852]              ['2', '109']              2        was       
2110   [3127, 740]               ['21', '10']              2        were      
2111   [374, 10768]              ['2', '111']              2        was       
2112   [3127, 805]               ['21', '12']              2        was       
2113   [374, 14322]              ['2', '113']              2        were      
2114   [374, 13391]              ['2', '114']              2        was       
2115   [374, 12730]              ['2', '115']              2        were      
2116   [374, 13210]              ['2', '116']              2        was       
2117   [374, 12231]              ['2', '117']              2        were      
2118   [374, 14711]              ['2', '118']              2        was       
2119   [3127, 746]               ['21', '19']              2        is        
2120   [374, 8193]               ['2', '120']              2        were      
2121   [374, 15144]              ['2', '121']              2        were      
2122   [374, 14351]              ['2', '122']              2        were      
2123   [374, 10683]              ['2', '123']              2        was       
2124   [374, 13397]              ['2', '124']              2        were      
2125   [374, 9312]               ['2', '125']              2        was       
2126   [374, 13381]              ['2', '126']              2        was       
2127   [374, 11946]              ['2', '127']              2        were      
2128   [374, 8196]               ['2', '128']              2        was       
2129   [374, 13482]              ['2', '129']              2        were      
2130   [374, 11246]              ['2', '130']              2        were      
2131   [374, 17015]              ['2', '131']              2        was       
2132   [374, 14783]              ['2', '132']              2        was       
2133   [374, 14380]              ['2', '133']              2        were      
2134   [374, 15468]              ['2', '134']              2        were      
2135   [374, 13743]              ['2', '135']              2        was       
2136   [374, 15220]              ['2', '136']              2        were      
2137   [374, 15497]              ['2', '137']              2        was       
2138   [374, 15148]              ['2', '138']              2        were      
2139   [374, 15270]              ['2', '139']              2        was       
2140   [374, 12434]              ['2', '140']              2        was       
2141   [374, 18962]              ['2', '141']              2        was       
2142   [374, 17364]              ['2', '142']              2        was       
2143   [374, 16150]              ['2', '143']              2        was       
2144   [374, 14231]              ['2', '144']              2        were      
2145   [374, 11838]              ['2', '145']              2        were      
2146   [374, 16607]              ['2', '146']              2        were      
2147   [374, 14555]              ['2', '147']              2        were      
2148   [374, 16989]              ['2', '148']              2        were      
2149   [374, 16717]              ['2', '149']              2        were      
2150   [374, 8970]               ['2', '150']              2        were      
2151   [374, 18795]              ['2', '151']              2        were      
2152   [374, 17472]              ['2', '152']              2        were      
2153   [374, 16271]              ['2', '153']              2        was       
2154   [374, 17161]              ['2', '154']              2        was       
2155   [374, 15054]              ['2', '155']              2        were      
2156   [374, 16198]              ['2', '156']              2        was       
2157   [374, 15882]              ['2', '157']              2        were      
2158   [374, 18663]              ['2', '158']              2        were      
2159   [374, 17220]              ['2', '159']              2        was       
2160   [374, 9913]               ['2', '160']              2        was       
2161   [374, 20664]              ['2', '161']              2        were      
2162   [374, 19603]              ['2', '162']              2        was       
2163   [374, 18121]              ['2', '163']              2        were      
2164   [374, 18467]              ['2', '164']              2        were      
2165   [374, 15429]              ['2', '165']              2        were      
2166   [374, 17962]              ['2', '166']              2        was       
2167   [374, 18146]              ['2', '167']              2        was       
2168   [374, 13851]              ['2', '168']              2        was       
2169   [374, 17809]              ['2', '169']              2        were      
2170   [374, 15046]              ['2', '170']              2        were      
2171   [374, 19816]              ['2', '171']              2        was       
2172   [374, 20333]              ['2', '172']              2        was       
2173   [374, 21151]              ['2', '173']              2        was       
2174   [374, 18804]              ['2', '174']              2        was       
2175   [374, 14840]              ['2', '175']              2        was       
2176   [374, 17184]              ['2', '176']              2        was       
2177   [374, 15907]              ['2', '177']              2        was       
2178   [374, 20070]              ['2', '178']              2        was       
2179   [374, 17864]              ['2', '179']              2        was       
2180   [374, 11395]              ['2', '180']              2        was       
2181   [374, 20895]              ['2', '181']              2        was       
2182   [374, 20700]              ['2', '182']              2        was       
2183   [374, 21092]              ['2', '183']              2        was       
2184   [374, 19105]              ['2', '184']              2        were      
2185   [374, 17786]              ['2', '185']              2        was       
2186   [374, 20270]              ['2', '186']              2        was       
2187   [374, 17306]              ['2', '187']              2        was       
2188   [374, 17599]              ['2', '188']              2        was       
2189   [374, 18359]              ['2', '189']              2        was       
2190   [374, 16129]              ['2', '190']              2        was       
2191   [374, 22179]              ['2', '191']              2        were      
2192   [374, 14403]              ['2', '192']              2        was       
2193   [374, 19631]              ['2', '193']              2        was       
2194   [374, 19332]              ['2', '194']              2        was       
2195   [374, 17726]              ['2', '195']              2        was       
2196   [374, 19196]              ['2', '196']              2        were      
2197   [374, 18493]              ['2', '197']              2        were      
2198   [374, 16903]              ['2', '198']              2        was       
2199   [374, 3031]               ['2', '199']              2        was       
